Image Path,Type
image_extraire/no yawn\1-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\1-FemaleNoGlasses-Normal_frame_210.jpg,normal
image_extraire/no yawn\1-FemaleNoGlasses-Normal_frame_419.jpg,normal
image_extraire/no yawn\10-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\10-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\10-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\10-FemaleNoGlasses-Talking_frame_544.jpg,normal
image_extraire/no yawn\10-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\10-MaleNoGlasses-Talking_frame_415.jpg,normal
image_extraire/no yawn\11-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\11-FemaleNoGlasses-Normal_frame_277.jpg,normal
image_extraire/no yawn\11-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\11-FemaleNoGlasses-Talking_frame_545.jpg,normal
image_extraire/no yawn\11-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\11-MaleNoGlasses-Talking_frame_204.jpg,normal
image_extraire/no yawn\11-MaleNoGlasses-Talking_frame_407.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Normal_frame_324.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_447.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_893.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Normal_frame_391.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_449.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_897.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Normal_frame_278.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Yawning_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Talking_frame_643.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Normal_frame_295.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_498.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_995.jpg,normal
image_extraire/no yawn\15-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleSunGlasses-Normal_frame_349.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_132.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_263.jpg,normal
image_extraire/no yawn\17-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\17-MaleNoGlasses-Talking_frame_479.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_385.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_769.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_330.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_659.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_496.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_991.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Yawning_frame_1.jpg,normal
